contract_id,case_filed_yr,case_filed_month,jurisdiction,zip,assign_atty,case_type_x,settlement_offer,amount_billed,contract_dup,case_type_y,hours_worked
 680 6B90329A,2012,4,California          ,94104,651,5119.0,0.0,7900.0,False,5119.0,44.0
003D516077   ,2013,6,Illinois            ,62568,915,5223.0,34000.0,155100.0,False,,
009348L100   ,2013,1,Colorado            ,80110,101,5122.0,919000.0,61300.0,False,,
006A694350   ,2013,10,Utah                ,84404,10,5121.0,40349000.0,609500.0,False,,
001678P732   ,2013,10,Pennsylvania        ,15108,942,5223.0,12000.0,126800.0,False,,
 680 1827C085,2012,8,West Virginia       ,26505,620,5121.0,383582000.0,3703500.0,False,5121.0,303.0
 680 9A634021,2012,1,California          ,91731,651,5119.0,0.0,12300.0,False,5119.0,121.0
003D295971   ,2013,6,New Hampshire       ,3048,100,5219.0,0.0,61400.0,False,,
006A313373   ,2013,9,District of Columbia,20010,612,5121.0,3000000.0,128900.0,False,,
 680 3B041931,2012,2,New Jersey          ,7108,712,5219.0,0.0,482200.0,False,5219.0,3354.0
 PACP7942X721,2012,4,Texas               ,78602,612,5121.0,50703000.0,733700.0,False,5121.0,994.0
008640R09A   ,2013,9,Georgia             ,30501,543,5122.0,5200000.0,404200.0,False,,
008640R09A   ,2013,9,Georgia             ,30501,543,5121.0,38439000.0,897800.0,True,,
 680 1663B435,2012,3,Massachusetts       ,1507,755,5121.0,2901000.0,318100.0,False,5121.0,1372.0
 680 1663B435,2012,3,Massachusetts       ,1507,755,5121.0,2901000.0,318100.0,False,5119.0,2303.0
 680 1663B435,2012,3,Massachusetts       ,1507,755,5121.0,2901000.0,318100.0,False,5223.0,43.0
 680 1663B435,2012,3,Massachusetts       ,1507,755,5119.0,0.0,166000.0,True,5121.0,1372.0
 680 1663B435,2012,3,Massachusetts       ,1507,755,5119.0,0.0,166000.0,True,5119.0,2303.0
 680 1663B435,2012,3,Massachusetts       ,1507,755,5119.0,0.0,166000.0,True,5223.0,43.0
005702M32A   ,2013,9,Pennsylvania        ,19134,100,5223.0,3000.0,170700.0,False,,
 680 3C300800,2012,8,Connecticut         ,6510,691,5219.0,0.0,32400.0,False,5219.0,3.0
002365P412   ,2013,11,Illinois            ,60471,592,5224.0,10000000.0,23600.0,False,,
 680 6293P323,2012,2,California          ,91350,712,5219.0,0.0,228000.0,False,5219.0,61.0
006D591507   ,2013,9,Montana             ,59715,841,5122.0,364000.0,29800.0,False,,
007305P51A   ,2013,2,Wyoming             ,82930,149,5224.0,10000000.0,3600.0,False,,
 680 3866P216,2012,1,Georgia             ,30439,749,5121.0,1050000.0,25800.0,False,5121.0,11.0
 680 8614L193,2012,8,Illinois            ,60133,651,5219.0,0.0,9800.0,False,5219.0,1413.0
